method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TA-ILTM (tuned),1291.1,43.8,41.8,40.470588235294116,0.5410396716826266,0.1733008503249949,0.05658920379791263,0.04000154783491311,0.030596384982913064,0.0,0.0,0.0,51.0,49850.45392826492,171.2311054865519,18939.401532662003,229.91135528287822,0.8561971562170454,0.8561971562170454,0.0,42.0,0.10558944136817328,0.10014130812359245,0.21051301510832732,54253.49664258957,121.1443555355072,12741.093915793572,60.10085108668305,0.964437315284652,0.964437315284652,0.0,hpo,tuned,TA-ILTM,iLTM,tabarena-2026-05-13
MITRA_GPU (default),1289.2,52.8,64.9,40.64705882352941,0.5389876880984952,0.1853115786356772,0.05850580218273832,0.04414244491612221,0.041802952737920195,0.0,0.0,1.0,50.0,417.8125674724579,6.376229664858649,123.07940532784106,3.1849498588377285,0.7960932617921012,0.7960932617921012,0.35294117647058826,40.0,0.13281455220749794,0.12227009813796817,0.2272898224746004,77.5374767780304,0.9704930782318115,87.35746758825638,2.432162346648348,0.9473992580103315,0.9473992580103315,0.0,config,default,MITRA_GPU,Mitra_GPU,tabarena-2025-09-03
CHIMERA (default),1282.4,53.7,51.0,41.294117647058826,0.5314637482900136,0.186126467048523,0.07336981620460867,0.04731187033210063,0.038606135357154646,0.0,0.0,1.0,50.0,14.347385135351443,0.4173607919730392,5.8401526271144375,0.07679269898943925,0.8264121053014812,0.8264121053014812,0.0,42.0,0.10058666130673377,0.09882323168417152,0.20860003589702147,11.435768127441406,0.1045839786529541,2.538410960774762,0.04996058681851744,0.9710393118980267,0.9710393118980267,0.0,config,default,CHIMERA,ChimeraBoost,tabarena-2026-08-10
XRFM_GPU (tuned),1279.2,53.5,45.0,41.588235294117645,0.5280437756497948,0.1825918476184625,0.06508993484379644,0.04619368465080423,0.047618154899526026,1.0,0.0,0.0,50.0,14022.497099048951,2.329889568628049,1406.561756989208,0.2649491271438143,0.8443197475520994,0.8443197475520994,0.0,42.0,0.1230396327961214,0.1112868530937618,0.21295479316671043,2211.918614625931,0.10966825485229492,866.1169883185313,0.09700742740075566,0.9570172071693069,0.9570172071693069,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
TABDPT_GPU (default),1274.4,69.0,67.1,42.049019607843135,0.5226858185134519,0.18506637499589804,0.05686273197368549,0.042808144677163706,0.039452111670778896,0.0,0.0,0.0,51.0,583.167813721825,268.76904352506,46.99302913298208,42.026423937944756,0.7946875631713751,0.7946875631713751,0.0,41.0,0.11121872477804662,0.10611111111111222,0.2109085410496047,262.5377552509308,105.11247444152832,45.41610881339672,39.404911507607515,0.9354366395772454,0.9354366395772454,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
TA-TABM (default),1272.5,47.1,50.2,42.22549019607843,0.5206338349293206,0.1825735484925376,0.06543093587757043,0.04264031336617441,0.03396203739501338,0.0,0.0,0.0,51.0,65.02894820419013,0.9653628713944379,12.725535761037357,0.5465033488529132,0.8437068034578667,0.8437068034578667,0.0,42.0,0.10495327661439802,0.09835632198791032,0.2120300751879699,19.638857126235962,0.3668477535247803,7.805060016481502,0.2369687802609225,0.9761618098535555,0.9761618098535555,0.0,config,default,TA-TABM,TabM,tabarena-2026-06-26
TABICL_GPU (default),1269.9,56.4,60.2,42.470588235294116,0.5177838577291382,0.18475456273686297,0.05037190194398039,0.045850680860297366,0.043281320233724954,0.0,0.0,2.0,49.0,89.99167278701184,15.994201370314055,7.673104193287245,1.7319044900729845,0.8245105643267464,0.8245105643267464,0.29411764705882354,42.0,0.1094830068070054,0.11227155873325707,0.2089949379627024,19.30116367340088,1.4308764934539795,6.856698312130071,1.5195481526734036,0.9823930431048422,0.9823930431048422,0.0,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
EBM (tuned + ensemble),1254.4,49.0,50.5,43.94117647058823,0.5006839945280438,0.19439346103884864,0.07189128360356095,0.05187369222866292,0.030294074937959596,0.0,0.0,0.0,51.0,52874.45252688726,2.34197577308206,14019.90900467862,0.9345767231489502,0.8738311577056317,0.8738311577056317,0.0,48.0,0.12415973967985938,0.11102916684921393,0.21296720061022123,3882.65318107605,0.3923764228820801,1877.6824729228317,0.13965064361109666,1.0,1.0,0.0,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2026-07-13
TABPFNV2_GPU (tuned),1250.7,68.3,56.1,44.294117647058826,0.49658002735978113,0.19227168097546574,0.058931240772946675,0.045166959250147354,0.035049228660059245,0.0,0.0,0.0,51.0,9280.937638614692,4.082395156224568,2836.5315057319253,1.9947555562006891,0.8226707013644672,0.8226707013644672,0.35294117647058826,50.0,0.12492053401144276,0.12227009813796817,0.22794871794871796,1926.0209152698517,0.3721911907196045,2943.3924917131662,0.2619314172957417,1.0,1.0,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
NN_TORCH (tuned + ensemble),1247.8,47.2,54.3,44.568627450980394,0.49338805289557686,0.18317347886972216,0.06602045027929573,0.047218293647932674,0.026629452531782477,0.0,0.0,0.0,51.0,29357.971773493522,13.246924213334626,3695.047548553409,3.449133243784533,0.8779579766900607,0.8779579766900607,0.0,45.0,0.10090636577190826,0.10439259502683779,0.2137517707311758,10620.000384569168,3.6842262744903564,2832.926208982787,1.800873875617981,1.0,1.0,0.0,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
REALMLP_GPU (default),1242.6,40.5,48.9,45.05882352941177,0.48768809849521205,0.18983096971554092,0.062226788941109834,0.04547985237756694,0.028566441618723907,0.0,0.0,0.0,51.0,102.1361764272054,4.232743627884808,14.839839205722386,4.080205728674661,0.9010069219699354,0.9010069219699354,0.0,47.0,0.1314613180515748,0.12354188332231962,0.2103846153846154,50.43063545227051,3.636448621749878,10.443531274795534,1.714346009462618,1.0,1.0,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
